ID,Dataset,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion
364,powder,YOLOv8 Nano,True,True,4,Distance Max,0%,100%,90%
365,powder,YOLOv8 Nano,True,True,4,Distance Max,0%,100%,100%
366,powder,YOLOv8 Nano,True,True,4,Distance Max,0%,100%,110%
367,powder,YOLOv8 Nano,True,True,4,Distance Max,0%,110%,90%
368,powder,YOLOv8 Nano,True,True,4,Distance Max,0%,110%,100%
369,powder,YOLOv8 Nano,True,True,4,Distance Max,0%,110%,110%
370,powder,YOLOv8 Nano,True,True,4,Distance Max,5%,90%,90%
371,powder,YOLOv8 Nano,True,True,4,Distance Max,5%,90%,100%
372,powder,YOLOv8 Nano,True,True,4,Distance Max,5%,90%,110%
373,powder,YOLOv8 Nano,True,True,4,Distance Max,5%,100%,90%
374,powder,YOLOv8 Nano,True,True,4,Distance Max,5%,100%,100%
